number,name,author,copyright,copydate,lyrics
531,I Surrender,Matt Crocker,2011 Hillsong Music Publishing (Admin. by Capitol ,2011,"Verse 1:
Here I am
Down on my knees again
Surrendering all
Surrendering all

Verse 2:     
Find me here
Lord as You draw me near
Desperate for You
Desperate for You
I surrender 
        
Verse 3:
Drench my soul
As mercy and grace unfold
I hunger and thirst
I hunger and thirst

Verse 4:
With arms stretched wide
I know You hear my cry
Speak to me now
Speak to me now

Chorus:
I surrender
I surrender
I want to know You more
I want to know You more

Bridge:
Like a rushing wind
Jesus breathe within
Lord have Your way
Lord have Your way in me

Like a mighty storm
Stir within my soul
Lord have Your way
Lord have Your way in me

"
533,Forever (Kari Jobe),Kari Jobe,Bethel Music Publishing/Worship Together Music,2013,"Verse 1 (Part 1):
The moon and stars they wept
The morning sun was dead
The Saviour of the world was fallen

Verse 1 (Part 2):
His body on the cross
His blood poured out for us
The weight of every curse upon him

Verse 2 (Part 1):
One final breath he gave
As heaven looked away
The son of God was laid in darkness

Verse 2 (Part 2):
A battle in the grave
The war on death was waged
The power of hell forever broken

PreChorus (Part 1):
The ground began to shake
The stone was rolled away
His perfect love could not be overcome

PreChorus (Part 2): 
Now death where is your sting?
Our resurrected King
Has rendered you defeated

Chorus:
Forever he is glorified
Forever he is lifted high
Forever he is risen
He is alive, He is alive!

PreChorus (Part 1):
The ground began to shake
The stone was rolled away
His perfect love could not be overcome

PreChorus (Part 2): 
Now death where is your sting?
Our resurrected King
Has rendered you defeated

Chorus:
Forever he is glorified
Forever he is lifted high
Forever he is risen
He is alive, He is alive!

Bridge: 
We sing hallelujah
We sing hallelujah
We sing hallelujah
The Lamb has overcome

Chorus:
Forever he is glorified
Forever he is lifted high
Forever he is risen
He is alive, He is alive!
"
534,More Than Conquerors, Rend Collective, Integrity Music,2014,"Verse 1:
When my hope and strength is gone
You're the one who calls me on
You are the life
You are the fight
That's in my soul

Verse 2:
Oh, Your resurrection power
Burns like fire in my heart
When waters rise
I lift my eyes
Up to Your throne

Chorus (Part 1): 
We are more than conquerors, through Christ
You have overcome this world, this life
We will not bow to sin or to shame
We are defiant in Your name

Chorus (Part 2):
You are the fire that cannot be tamed
You are the power in our veins
Our Lord, our God, our Conqueror

Verse 3: 
I will sing into the night
Christ is risen and on high
Greater is He
Living in me
Than in the world

Verse 4: 
No surrender, no retreat
We are free and we're redeemed
We will declare
Over despair
You are the hope

Chorus (Part 1): 
We are more than conquerors, through Christ
You have overcome this world, this life
We will not bow to sin or to shame
We are defiant in Your name

Chorus (Part 2):
You are the fire that cannot be tamed
You are the power in our veins
Our Lord, our God, our Conqueror

Bridge (Part 1):
Nothing is impossible
Every chain is breakable
With You, we are victorious

Bridge (Part 2):
You are stronger than our hearts
You are greater than the dark
With You, we are victorious

Chorus (Part 1): 
We are more than conquerors, through Christ
You have overcome this world, this life
We will not bow to sin or to shame
We are defiant in Your name

Chorus (Part 2):
You are the fire that cannot be tamed
You are the power in our veins
Our Lord, our God, our Conqueror"
535,"Lord, I Need You","Christy Nockels, Daniel Carson, Jesse Reeves, Kris",2011 sixsteps Music Sweater Weather Music Thankyou,2011,"Verse 1:
Lord, I come, I  con-fess
Bowing here I find my rest
Without You I fall apart   
You're the One that guides my heart

Chorus:
Lord, I need You, 
Oh, I need You
Every hour I need You
My one defense, my righteousness
Oh God, how I need You
            
Verse 2:
Where sin runs deep Your grace is more
Where grace is found is where You are
And where You are, Lord, I am free
Holiness is Christ in me

Bridge:
Teach my song to rise to You
When temptation comes my way
And when I cannot stand I'll fall on You
Jesus, You're my hope and stay     
"
536,Great In All The Earth,"Gordan Cochran, Jon Neufeld, Tim Neufeld",Birdwing Music,2008,"Verse 1a:
 The world is Yours and everything in it
 It's all at Your command
 There is no end to Your domain

Verse 1b:
 The planets shake the galaxies tremble
 They turn within Your hands
 There is no end to Your domain
 No height or depth You don't sustain

 Chorus:
 Great in all the earth is Your glory oh God
 The universe declares how amazing You are
 Over history and eternity
 You alone are Lord and King

 Verse 2a:
 The world is Yours
 And everything in it
 It's all at Your command

Verse 2b:
 There is no end
 To Your domain
 No height or depth
You don't sustain

Bridge:
There is none like You
There is none like You
There is none like You
Jesus, there is none like You"
537,Unbroken Praise,"Jonas Myrin, Matt Redman",Atlas Mountain Songs Said And Done Music sixsteps ,2015,"Verse 1a:
Praise unbroken
Praise unending
Be yours, be yours forevermore

Verse 1b:
Praise untainted
Praise unfading
Be yours, be yours forevermore
Be yours, be yours forevermore

Chorus:
Unbroken praise be yours, God, forever
All my praise be yours, God, forever
Lord, take this life, let it become your throne
Unbroken praise be yours

Verse 2:
My surrender
My devotion
Be yours, be yours forevermore
Be yours, be yours forevermore

Bridge: 
So let my deeds outrun my words
And let my life outweigh my songs"
538,Sinking Deep ,"Aodhan King, Joel Davies",2012 Hillsong Music Publishing,2012,"Verse 1a:
Standing here in Your presence
In a grace so relentless
I am won
By perfect love

Verse 1b:
Wrapped within the arms of heaven
In a peace that lasts forever
Sinking deep
In mercy's sea

Prechorus a:
I'm wide awake
Drawing close
Stirred by grace
And all my heart is Yours

Prechorus b: 
All fear removed
I breathe You in
I lean into Your love
Your love

Verse 2a:
When I'm lost You pursue me
Lift my head to see Your glory
Lord of all
So beautiful

Verse 2b:
Here in You I find shelter
Captivated by the splendor
Of Your face
My secret place

Chorus a:
Your love so deep
Is washing over me
Your face is all I seek
You are my everything.

Chorus b:
Jesus Christ
You are my one desire
Lord hear my only cry
To know You all my life."
539,Even When It Hurts (Praise Song),Joel Houston,2015 Hillsong Music Publishing,2015,"Verse 1:
Take this fainted heart
Take these tainted hands
Wash me in Your love
Come like grace again

Chorus 1: 
Even when my strength is lost
I'll praise You
Even when I have no song
I'll praise You

Chorus 1b:
Even when it's hard to find the words
Louder then I'll sing Your praise
I will only sing Your praise
I will only sing Your praise
I will only sing Your praise

Verse 2: 
Take this mountain weight
Take these ocean tears
Hold me through the trial
Come like hope again

Chorus 2: 
Even when the fight seems lost
I'll praise You
Even when it hurts like oh God
I'll praise You

Chorus 2b: 
Even when it makes no sense to sing
Louder then I'll sing Your praise
I will only sing Your praise
I will only sing Your praise
I will only sing Your praise

Bridge a:
And my heart burns only for You
You are all You are all I want
And my soul waits only for You
And I will sing till the morning has come

Bridge b: 
Lord my heart burns only for You
You are all You are all I want
And my soul waits only for You
And I will sing till the miracle comes

Bridge c: 
I will only sing Your praise
I will only sing Your praise
I will only sing Your praise

Chorus 3:
Even when the morning comes
I'll praise You
Even when the fight is won
I'll praise You

Chorus 3b: 
Even when my time on earth is done
Louder then I'll sing your praise
I will only sing Your praise"
540,My Soul Sings (Chorus/Bridge),"Stuart Garrard, Martin Smith, John Thatcher",© 2008 Curious? Music UK (Admin. by EMI Christian ,2008,"Chorus:
My soul sings, my soul sings
My soul sings, how I love You

Bridge:
All I want is just to know your heart,
And would you keep me here until we're one
"
541,He Is Yahweh,Dean Salyn,2001 Mercy / Vineyard Publishing Vineyard Songs Ca,2001,"Verse 1:
Who is moving on the waters
Who is holding up the moon
Who is peeling back the darkness

Verse 1b:
With the burning light of noon
Who is standing on the mountains
Who is on the earth below
Who is bigger than the heavens and the lover of my 

Chorus:
Creator God, He is Yahweh
The Great I am, He is Yahweh
The Lord of All, He is Yahweh

Chorus b:
Rose of Sharon, He is Yahweh
The Righteous Son, He is Yahweh
The Three-in-one, He is Yahweh

Verse 2:
Who is He that makes me happy
Who is He that gives me peace
Who is He that brings me comfort

Verse 2b:
And turns the bitter into sweet
Who is stirring up my passion
Who is rising up in me
Who is filling up my hunger, with everything I need.

Bridge: 
You are holy and eternal
And forever You will reign
Every knee will bow before You

Bridge b:
Every tongue will confess Your name
All the angels give You glory
As they stand before Your throne
And here on Earth we gather
To declare Your name alone. (Chorus)"
542,It Is Well,Kristene DiMarco,2013 Bethel Music Publishing,2013,"Verse 1:
Grander earth has quaked before
Moved by the sound of His voice
Seas that are shaken and stirred
Can be calmed and broken for my regard

Chorus 1a:
Through it all, through it all
My eyes are on You
Through it all, through it all
It is well

Chorus 1b:
Through it all, through it all
My eyes are on You
It is well with me

Verse 2: 
Far be it from me to not believe
Even when my eyes can't see
And this mountain that's in front of me
Will be thrown into the midst of the sea

Chorus 2:
Through it all, through it all
My eyes are on You
Through it all, through it all
It is well

Bridge:
So let go my soul and trust in Him
The waves and wind still know His name "
